id,status,startedAt,stoppedAt,duracion_s
82,success,"2026-09-11 20:15:21.701","2026-09-11 20:15:23.724",2.023
83,success,"2026-09-11 20:15:25.441","2026-09-11 20:15:27.223",1.782
84,success,"2026-09-11 20:15:30.047","2026-09-11 20:15:32.191",2.144
85,success,"2026-09-11 20:15:34.208","2026-09-11 20:15:36.243",2.035
86,success,"2026-09-11 20:15:37.411","2026-09-11 20:15:40.613",3.202
87,success,"2026-09-11 20:15:37.413","2026-09-11 20:15:39.091",1.678
88,success,"2026-09-11 20:15:45.323","2026-09-11 20:15:47.502",2.179
89,success,"2026-09-11 20:15:52.060","2026-09-11 20:15:56.309",4.249
90,success,"2026-09-11 20:15:58.066","2026-09-11 20:16:00.197",2.131
91,success,"2026-09-11 20:16:02.056","2026-09-11 20:16:04.098",2.042
92,success,"2026-09-11 20:16:05.558","2026-09-11 20:16:07.698",2.14
93,success,"2026-09-11 20:16:12.382","2026-09-11 20:16:13.398",1.016
94,success,"2026-09-11 20:16:12.384","2026-09-11 20:16:13.401",1.017
95,success,"2026-09-11 20:16:18.991","2026-09-11 20:16:20.382",1.391
96,success,"2026-09-11 20:16:24.535","2026-09-11 20:16:29.671",5.136
97,success,"2026-09-11 20:16:32.202","2026-09-11 20:16:35.148",2.946
98,success,"2026-09-11 20:16:36.499","2026-09-11 20:16:38.501",2.002
99,success,"2026-09-11 20:16:39.874","2026-09-11 20:16:43.730",3.856
100,success,"2026-09-11 20:16:47.165","2026-09-11 20:16:48.734",1.569
101,success,"2026-09-11 20:16:47.168","2026-09-11 20:16:48.738",1.57
102,success,"2026-09-11 20:16:55.788","2026-09-11 20:16:56.925",1.137
103,success,"2026-09-11 20:16:59.480","2026-09-11 20:17:01.537",2.057
104,success,"2026-09-11 20:17:03.028","2026-09-11 20:17:07.902",4.874
105,success,"2026-09-11 20:17:08.308","2026-09-11 20:17:10.439",2.131
106,success,"2026-09-11 20:17:13.703","2026-09-11 20:17:15.851",2.148
107,success,"2026-09-11 20:17:17.892","2026-09-11 20:17:19.002",1.11
108,success,"2026-09-11 20:17:17.895","2026-09-11 20:17:19.005",1.11
109,success,"2026-09-11 20:17:26.295","2026-09-11 20:17:27.345",1.05
110,success,"2026-09-11 20:17:29.514","2026-09-11 20:17:32.535",3.021
111,success,"2026-09-11 20:17:34.053","2026-09-11 20:17:37.091",3.038
112,success,"2026-09-11 20:17:38.390","2026-09-11 20:17:40.392",2.002
113,success,"2026-09-11 20:17:41.949","2026-09-11 20:17:44.293",2.344
114,success,"2026-09-11 20:17:46.814","2026-09-11 20:17:48.026",1.212
115,success,"2026-09-11 20:17:46.816","2026-09-11 20:17:48.025",1.209
116,success,"2026-09-11 20:17:54.600","2026-09-11 20:17:55.602",1.002
117,success,"2026-09-11 20:17:58.221","2026-09-11 20:18:00.386",2.165
118,success,"2026-09-11 20:18:01.634","2026-09-11 20:18:03.500",1.866
119,success,"2026-09-11 20:18:04.922","2026-09-11 20:18:06.893",1.971
120,success,"2026-09-11 20:18:09.624","2026-09-11 20:18:12.089",2.465
